id,date,medtype,medium,headline
12937,2015-05-21T15:32:28Z,Internet,4 NOS.nl,Asscher wil kleine werkgevers misschien ontzien
12943,2015-05-21T20:58:56Z,Internet,4 NOS.nl,Merkel en Hollande denken mee met Tsipras
12951,2015-05-22T08:11:53Z,Internet,4 NOS.nl,Koud weer zorgde voor meer uitgaven door huishoudens
12977,2015-05-22T17:25:30Z,Internet,4 NOS.nl,Kredietbeoordelaar S&P positiever over Nederland
12991,2015-05-23T12:11:26Z,Internet,4 NOS.nl,Britse centrale bank onderzoekt gevolgen Brexit
13043,2015-05-26T09:19:40Z,Internet,4 NOS.nl,Grote reorganisatie bij Malaysia Airlines
13081,2015-05-28T04:35:43Z,Internet,4 NOS.nl,Twijfels bij FIFA-sponsors na arrestaties
13105,2015-05-28T20:18:49Z,Internet,4 NOS.nl,Bonden bezorgd over flirt tussen Delhaize en Ahold
13125,2015-05-29T11:36:13Z,Internet,4 NOS.nl,Kabinet wil positie verzekerden versterken
13145,2015-05-30T04:56:39Z,Internet,4 NOS.nl,Opvallende omzetstijging woonwinkels
13197,2015-06-01T06:38:40Z,Internet,4 NOS.nl,'Over de hele linie gaat het beter met de bouw'
13199,2015-06-01T07:28:11Z,Internet,4 NOS.nl,Grontmij overgenomen voor 354 miljoen
13211,2015-06-01T13:10:59Z,Internet,4 NOS.nl,Het gaat weer wat beter met de pensioenfondsen
13245,2015-06-02T11:58:50Z,Internet,4 NOS.nl,Vakantiebaantje voor student steeds vaker digitaal
13247,2015-06-02T11:20:06Z,Internet,4 NOS.nl,Rutte wil niets zeggen over topoverleg Griekenland
13253,2015-06-02T15:20:46Z,Internet,4 NOS.nl,Geldschieters komen zelf met voorstellen voor Griekenland
13259,2015-06-02T19:53:59Z,Internet,4 NOS.nl,'Akkoord geldschieters Griekenland'
13265,2015-06-03T07:38:43Z,Internet,4 NOS.nl,'Gemeenten moeten meer belasting heffen'
13269,2015-06-03T08:26:57Z,Internet,4 NOS.nl,'Nederlandse economie groeit sneller'
13309,2015-06-04T08:07:48Z,Internet,4 NOS.nl,Inflatie de lucht in door vliegvakanties
13311,2015-06-04T10:32:10Z,Internet,4 NOS.nl,Na 24 uur praten: meer loon voor machinisten en conducteurs
13321,2015-06-04T14:31:20Z,Internet,4 NOS.nl,Dijsselbloem: verschillen met Griekenland nog niet opgelost
13327,2015-06-04T17:23:23Z,Internet,4 NOS.nl,Griekenland wil betaling aan IMF uitstellen
13333,2015-06-04T16:52:08Z,Internet,4 NOS.nl,Brandweer springt onzorgvuldig om met eigen veiligheid
13337,2015-06-04T23:48:03Z,Internet,4 NOS.nl,Nep-orka moet zeeleeuwen verjagen
13339,2015-06-05T04:53:38Z,Internet,4 NOS.nl,"Olie is goedkoop, maar hoe lang nog?"
13377,2015-06-06T08:52:22Z,Internet,4 NOS.nl,Rutte in India: dit is nog maar het begin
13413,2015-06-08T10:59:55Z,Internet,4 NOS.nl,DNB: de zeven magere jaren zijn voorbij
13427,2015-06-08T16:19:16Z,Internet,4 NOS.nl,"'Economie trekt aan, nu koers houden'"
13441,2015-06-09T09:33:55Z,Internet,4 NOS.nl,Britse bank HSBC schrapt 25.000 banen
13443,2015-06-09T10:42:30Z,Internet,4 NOS.nl,Vakbond vreest banenverlies bij scheepsbouwer IHC
13451,2015-06-09T16:04:00Z,Internet,4 NOS.nl,Soepelere regels voor mensen met schulden
