i,n,acc,cor,alpha
37,2525,0.6549295774647887,0.6278257568187738,0.6191387397761332
37,3030,0.5915492957746479,0.5028545518355096,0.40396055884753856
37,3535,0.6338028169014085,0.5943635875917918,0.5930013458950202
37,4040,0.5985915492957746,0.5131854973519819,0.4574226779765139
37,4545,0.5563380281690141,0.4722049095094656,0.4151451199848242
37,5050,0.6161971830985915,0.5494325344562773,0.5422728845348435
37,5555,0.6408450704225352,0.586097561288671,0.5733583355230156
37,6038,0.5774647887323944,0.4730338710909474,0.391041780375724
38,505,0.43661971830985913,0.2748444068974134,0.1638756954810695
38,1010,0.45422535211267606,0.3532231239805207,0.16084154921560145
38,1515,0.5669014084507042,0.42170354199512494,0.3890652516451941
38,2020,0.5950704225352113,0.49259517778371414,0.4844947906428151
38,2525,0.5809859154929577,0.5123713069803055,0.5031443298969072
38,3030,0.6443661971830986,0.6011657739915046,0.5956439393939394
38,3535,0.6267605633802817,0.5577575721730643,0.5368013281682347
38,4040,0.6338028169014085,0.5943442583572089,0.574194990799076
38,4545,0.6267605633802817,0.5870076323928475,0.5857126798561151
38,5050,0.6267605633802817,0.5762062241986139,0.5488251579937262
38,5555,0.6549295774647887,0.5824659333801085,0.5743642676175283
38,6038,0.6654929577464789,0.5431562152094617,0.5264910463223323
39,505,0.3732394366197183,0.06821585796302325,-0.32457191780821937
39,1010,0.46830985915492956,0.38557416118094395,0.223509461010845
39,1515,0.5633802816901409,0.46621130478671546,0.4254804597186379
39,2020,0.5598591549295775,0.4918887557456494,0.4644908336268819
39,2525,0.6443661971830986,0.5345240040575703,0.5257841544944881
39,3030,0.6197183098591549,0.562462971618918,0.5507159134884121
39,3535,0.602112676056338,0.5456895806349701,0.542945563391
39,4040,0.6408450704225352,0.5456619254404533,0.5017600295993299
39,4545,0.602112676056338,0.5037379435823001,0.4710712455151205
39,5050,0.6408450704225352,0.5560105858747763,0.5491114657434204
39,5555,0.6373239436619719,0.5320600588744981,0.5223251895534962
